"","category","timePeriod","duration","definition","caption","madeForKids","views","likes","comments","viewsQuartile3","likesQuartile3","commentsQuartile3","likesQuartile9","commentsQuartile9","publishedAtMonth","publishedAtDay","publishedAtYear","age"
"1","science/tech","after",144,"hd","True","False",11.6977439019628,6.02102334934953,0,"1",1,1,"1","1",9,1,2021,16.7261430626047
"2","science/tech","before",90,"hd","False","False",11.4485682607271,6.34212141872115,2.19722457733622,"1",1,1,"1","1",2,4,2020,18.0355874099691
"3","entertainment","after",734,"hd","False","False",12.0395043519423,8.91274263473703,6.63594655568665,"1",2,2,"3","3",2,25,2022,14.9303829320202
"4","news/politics","during",282,"hd","False","False",11.4690571685136,7.49331724886215,4.78749174278205,"1",1,1,"2","2",7,12,2020,17.8102000751104
"5","comedy","after",279,"hd","False","False",12.5040713183839,8.4675826908629,4.30406509320417,"1",1,1,"3","1",1,10,2022,15.7696739834143
"6","news/politics","after",490,"hd","False","False",12.0782847275327,7.85166117788927,5.23644196282995,"1",1,1,"2","2",12,19,2021,16.0067036490687
"7","education","before",460,"hd","False","False",11.2851210687738,7.85515700588134,4.81218435537242,"1",1,1,"2","2",2,22,2019,18.4007085916876
"8","entertainment","before",707,"hd","False","False",11.8491333809475,8.39298958795693,5.47646355193151,"1",1,1,"3","3",6,28,2019,18.2832308153125
"9","news/politics","after",445,"hd","False","False",11.60943492535,7.91571319938212,5.71373280550937,"1",1,2,"2","3",1,23,2022,15.5944578000178
"10","news/politics","after",605,"hd","False","False",12.4445539695343,8.25764495820823,6.76388490856244,"1",1,2,"3","3",2,24,2022,14.9669515117348
"11","education","before",187,"hd","False","False",9.12019682212322,5.17614973257383,0,"1",1,1,"1","1",2,14,2020,18.022669759704
"12","education","after",865,"hd","False","False",11.3720298802654,7.76811037852599,3.87120101090789,"1",1,1,"2","1",8,9,2021,16.8275677027389
"13","entertainment","during",81,"hd","False","False",12.0044948721305,6.06842558824411,6.85540879860993,"1",1,2,"1","3",6,3,2021,17.0807505208645
"14","news/politics","before",255,"hd","False","False",11.9079226416265,7.13329595489607,4.80402104473326,"1",1,1,"1","2",11,13,2019,18.136063862333
"15","news/politics","during",297,"hd","False","False",11.5397134417266,7.67089483136212,5.38449506278909,"1",1,1,"2","3",4,20,2021,17.2164921496788
"16","entertainment","after",123,"hd","False","False",11.3128756878095,3.36729582998647,0.693147180559945,"1",1,1,"1","1",12,9,2021,16.0975597248643
"17","comedy","during",316,"hd","False","False",11.5835237138158,7.88193748927207,4.86753445045558,"1",1,1,"2","2",12,16,2020,17.5224223723956
"18","entertainment","before",638,"hd","False","False",12.4226225061661,10.1380457086656,6.24222326545517,"1",2,2,"3","3",5,24,2019,18.3169996284235
"19","comedy","during",362,"hd","True","False",12.2896230402241,8.59118687132456,5.4380793089232,"1",2,1,"3","3",5,29,2021,17.0968828328614
"20","entertainment","during",191,"hd","False","False",11.2538956350916,7.21964204013074,5.05624580534831,"1",1,1,"1","2",5,12,2020,17.9035250609015
"21","news/politics","after",286,"hd","False","False",11.1432521209601,7.26892012819372,4.44265125649032,"1",1,1,"1","1",10,31,2021,16.3946079733675
"22","education","before",102,"hd","False","True",11.8955449204735,7.39694860262101,0,"1",1,1,"2","1",7,28,2019,18.2527636943147
"23","news/politics","during",233,"hd","False","False",12.4032417630721,8.51398806046729,5.89164421182577,"1",1,2,"3","3",5,2,2021,17.179686975916
"24","news/politics","after",559,"hd","False","False",12.484454101019,8.26049285657318,6.72503364216684,"1",1,2,"3","3",1,20,2022,15.63701780834
"25","news/politics","during",366,"hd","False","False",11.6373177226332,7.61677580869837,5.03043792139244,"1",1,1,"2","2",11,29,2020,17.5582316342187
"26","entertainment","after",161,"hd","False","False",11.3072411109893,8.10832229017324,6.49978704065585,"1",1,2,"3","3",9,1,2021,16.7245060895403
"27","news/politics","before",244,"hd","False","False",11.3192072118407,6.59714570188665,3.63758615972639,"1",1,1,"1","1",5,19,2019,18.3219285783053
"28","science/tech","after",129,"hd","True","False",11.8452964457846,8.85822643936501,4.66343909411207,"1",2,1,"3","2",1,4,2022,15.840758155067
"29","news/politics","during",218,"hd","False","False",11.5226678534128,7.46164039220858,5.57215403217776,"1",1,1,"2","3",5,23,2021,17.114839024933
